Name,Speed,Control,Stiffness,Overall,Price,Ratings
DHS Magician M-13,7.0,7.0,10.0,5.0,$37,1
DHS Magician M-C02,,,,,$28,0
DHS Magician M-C03,,,,,$28,0
DHS Neo TG825,9.4,9.0,7.0,9.5,$90,1
DHS O 123,,,,,$35,0
DHS O102A,,,,,$39,0
DHS O104A OFF,,,,,$25,0
DHS PF4 016,,,,,$30,0
DHS PF4 032,8.5,8.8,7.1,9.1,$30,8
DHS PF4 08,7.5,8.0,6.3,8.4,$30,4
DHS PG7,,,,,$30,0
DHS POWER G 15 E,,,,,$40,0
DHS Power G 7E,,,,,$50,0
DHS Power-G 5 PG5,8.2,8.8,6.2,9.5,$35,6
DHS Power-G PG12,8.8,8.3,5.3,8.7,$45,6
DHS Power-G PG13,8.7,8.3,6.3,8.7,$42,7
DHS Power-G PG15,9.0,9.1,4.0,9.1,$40,2
DHS Power-G PG2,,,,,$28,0
DHS Power-G PG2-L,7.5,8.3,5.5,8.5,$27,4
DHS Power-G PG2-S,6.0,9.0,3.0,,$27,1
DHS Power-G PG3,7.8,8.1,2.3,8.1,$33,6
DHS Power-G PG7,8.9,8.9,5.9,9.2,$28,132
DHS Power-G PG8,7.8,8.2,6.5,8.3,$30,4
DHS Power-G PG9,9.2,8.7,6.3,8.9,$30,12
DHS Skyline TG7-AL,9.5,8.9,5.6,9.3,$80,9
DHS Skyline TG7-AS,,,,,$80,0
DHS Skyline TG7-BL,7.8,7.5,6.0,,$80,2
DHS Skyline TG7-BS,9.0,9.5,10.0,10.0,$80,1
DHS TG 506+,9.3,9.4,7.0,9.5,$119,2
DHS TG-7 CP,9.4,8.0,8.5,8.9,$96,2
DHS TG-7 CP2,8.8,9.1,6.0,9.4,$120,6
DHS TG-7 P,9.3,9.6,5.0,9.6,$67,3
DHS TG-7 P2,9.0,9.0,5.0,,$75,1
DHS TG-7 SP,,,,,$139,0
DHS TG825-L,9.8,8.2,4.7,9.5,$130,3
DHS V-Series V302,,,,,$184,0
DHS W968-5,10.0,10.0,10.0,10.0,$500,1
DHS Wang Hao Control,7.5,9.5,5.0,8.0,$33,1
DHS Wang Hao Special,7.0,7.0,7.0,7.0,$39,1
DHS Wang Hao Sting,,,,,$45,0
DHS Wang Liqin Carbon,9.3,8.2,5.0,8.4,$67,1
DHS Wang Liqin Legend,8.7,9.2,3.0,8.8,$45,1
DHS Wang Liqin Magic,8.5,9.0,5.0,9.5,$33,1
DHS Wang Liqin Penhold,9.5,8.3,5.0,9.4,$50,1
DHS Wang Liqin Ultima,,,,,$45,0
DHS Wind CW-C,9.4,7.3,9.0,8.6,$40,22
DHS Wind CW-E,7.9,9.0,5.0,8.8,$26,1
DHS Wind SR-A,7.6,9.3,5.0,8.9,$40,5
DHS Wind SR-B,,,,,$40,0
DHS Wind W1030,8.4,8.5,5.0,8.2,$23,1
Dr. Neubauer Barricade DEF,5.5,9.4,2.7,8.7,$50,14
Dr. Neubauer Bloodhound,8.0,10.0,7.0,9.0,$60,2
Dr. Neubauer Bulldozer,5.0,1.0,10.0,10.0,$76,2
Dr. Neubauer Combination Effect,8.1,10.0,5.7,8.7,$196,3
Dr. Neubauer Firewall Plus,8.4,9.0,5.9,8.9,$65,17
Dr. Neubauer Grand Master,,,,,$45,0
Dr. Neubauer Hercules,7.0,9.0,7.0,9.0,$153,1
Dr. Neubauer High Technology Plus,9.2,8.8,5.0,8.0,$88,2
Dr. Neubauer Jackpot,,,,,$75,0
Dr. Neubauer Kung Fu,7.5,8.8,7.0,9.0,$68,2
Dr. Neubauer Magical Touch,,,,,$75,0
Dr. Neubauer Matador,8.0,10.0,7.0,10.0,$80,1
Dr. Neubauer Matador Texa,8.7,9.3,7.0,9.1,$65,3
Dr. Neubauer Matador Texa Balsa,8.5,9.4,7.0,8.8,$70,1
Dr. Neubauer Phenomenon,6.7,9.7,6.0,7.7,$68,3
Dr. Neubauer Special,8.1,9.7,5.0,9.7,$189,1
Dr. Neubauer Titan,7.8,10.0,6.0,9.0,$299,2
Dr. Neubauer World Champion Carbon,,,,,$70,0
Dr. Neubauer World Champion OFF-,8.5,8.5,6.0,8.3,$64,2
Eastfield Allwood,6.0,10.0,5.0,8.0,$30,1
Eastfield Ashwood,,,,,$60,0
Friendship/729 6030,8.8,9.1,6.0,9.0,$18,4
Friendship/729 729 Yellow Carbon ALC,8.0,10.0,5.0,10.0,$40,1
Friendship/729 8030,9.5,6.8,10.0,8.4,$34,6
Friendship/729 8040,7.3,8.3,7.0,8.2,$32,3
Friendship/729 8041,,,,,$32,0
Friendship/729 9010 Carbon,,,,,$32,0
Friendship/729 A-2,8.1,9.4,5.4,9.2,$30,5
Friendship/729 A-3,,,,,$30,0
Friendship/729 Black Whirlwind,7.3,9.0,5.0,8.8,$20,2
Friendship/729 Black Whirlwind Transformer,8.7,9.3,5.0,9.0,$18,4
Friendship/729 Bomb,8.5,8.5,5.1,8.6,$18,43
Friendship/729 C-1,7.6,9.4,5.0,9.3,$22,2
Friendship/729 C-2,7.7,8.5,4.0,8.5,$17,4
Friendship/729 C-3,8.0,8.7,4.6,8.6,$30,12
Friendship/729 C-5,7.8,10.0,5.0,10.0,$15,2
Friendship/729 Dragon,,,,,$10,0
Friendship/729 Dynasty Hinoki,8.5,8.6,4.6,8.8,$32,7
Friendship/729 Dynasty Hinoki Carbon,9.1,8.4,5.9,8.5,$31,10
Friendship/729 Dynasty Super Carbon,9.7,7.1,7.9,8.1,$32,8
Friendship/729 Dynasty Two Speed Carbon,8.7,7.5,6.0,8.2,$32,2
Friendship/729 F-1,8.5,8.5,4.3,8.8,$15,7
Friendship/729 F-2,7.0,9.0,5.0,8.0,$15,1
Friendship/729 F-3 Hao Shuai,9.0,5.0,,,$27,2
Friendship/729 Fighter Arylate Carbon,8.2,8.7,7.0,9.3,$17,5
Friendship/729 Fighter Carbon,8.0,7.0,7.0,8.0,$22,1
Friendship/729 Fighter Glassfiber,9.5,8.8,8.5,8.9,$19,3
Friendship/729 Hao Shuai Champion Carbon,8.4,7.7,6.9,8.0,$50,9
Friendship/729 L 1,8.1,9.8,6.0,9.5,$35,2
Friendship/729 L-2,7.3,9.6,4.0,9.5,$35,2
Friendship/729 L-3 (Hao Shuai),8.0,9.0,5.0,9.0,$40,2
Friendship/729 L-5 Hao Shuai,8.9,9.7,5.0,9.6,$40,3
Friendship/729 Magic Green,6.0,10.0,3.0,7.5,$7,1
Friendship/729 Red Spirit,8.0,8.5,2.0,8.3,$35,4
Friendship/729 RITC729 W-1,5.5,8.0,4.0,7.0,$26,2
Friendship/729 Sensor Grip,8.5,8.0,7.0,8.5,$23,2
Friendship/729 V-3,10.0,10.0,7.0,10.0,$24,1
Friendship/729 V-5,7.8,8.8,5.0,8.0,$17,2
Friendship/729 V-6,8.2,8.8,5.0,9.2,$27,19
Friendship/729 WA-2,6.8,8.9,4.3,9.0,$30,3
Friendship/729 Z-1 (Z1),8.3,8.6,6.8,8.5,$35,5
Friendship/729 Z-2,7.5,9.3,4.0,9.2,$35,2
Galaxy 2020,8.0,6.0,5.0,7.0,$35,1
Galaxy 2024,9.0,7.5,10.0,8.3,$27,1
Galaxy 350 Year,7.0,7.7,5.0,7.0,$13,1
Galaxy 3A,7.0,10.0,7.0,9.0,$15,1
Galaxy 896,7.6,8.6,2.5,8.3,$12,13
Galaxy 901,8.3,8.0,5.0,8.0,$28,3
Galaxy 902,,,,,,0
Galaxy 960,,,,,$18,0
Galaxy 961,,,,,,0
Galaxy 966,7.4,8.5,5.0,9.0,$15,1
Galaxy 970,,,,,$20,0
Galaxy 980,7.0,9.4,5.1,9.3,$28,15
Galaxy 980 XX,,,,,$60,0
Galaxy 981,9.8,8.0,,9.9,$21,2
Galaxy 982,10.0,10.0,7.0,,$58,1
Galaxy 983,9.5,6.3,8.5,7.3,$21,6
Galaxy 984,,,,,$20,0
Galaxy 985,8.9,8.4,5.0,9.0,$20,5
Galaxy 986,9.3,8.6,7.0,8.6,$20,2
Galaxy 987,10.0,7.3,,9.0,$21,1
Galaxy 988,9.3,8.8,6.1,9.1,$20,10
Galaxy 989,9.3,8.3,8.7,8.8,$20,6
Galaxy 991,,,,,$20,0
Galaxy 992 Three Carbon,,,,,$60,0
Galaxy Balsa 6,4.9,9.6,3.0,9.5,$30,8
Galaxy Balsa 7,6.5,9.6,4.0,9.5,$30,6
Galaxy Balsa 8,8.4,9.5,6.7,9.5,$30,6
Galaxy Balsa 9,9.3,9.2,9.3,9.5,$30,4
Galaxy Balsa DEF 10,,,,,$45,0
Galaxy Bogen,7.5,9.0,5.0,,$40,1
Galaxy Carbokev K-1,,,,,$63,0
Galaxy Carbokev K-2,8.5,8.0,5.0,9.0,$40,1
Galaxy Carbokev K-3,7.0,8.0,3.0,8.0,$40,1
Galaxy Carbokev K-4,8.4,8.8,5.2,9.2,$49,10
Galaxy Carbokev K-5,9.1,7.1,4.4,8.0,$50,5
Galaxy Carbokev K-6,9.1,8.1,8.2,9.1,$50,6
Galaxy CN.1 Children Carbon,6.3,9.3,4.0,8.3,$15,3
Galaxy CN.2,7.2,8.0,5.0,8.2,$15,1
Galaxy DE-1,6.0,9.5,5.0,10.0,$40,3
Galaxy Def 5,4.3,9.2,0.8,9.2,$20,12
Galaxy DL-1 Woven Carbon,,,,,$80,0
Galaxy DL-3 Uniaxial Carbon,,,,,$54,0
Galaxy Earth E-1,8.5,8.6,4.3,8.7,$30,3
Galaxy Earth E-1 VB,8.5,9.5,6.0,8.8,$39,2
Galaxy Earth E-2,,,,,$70,0
Galaxy Earth E-3,8.2,9.0,3.4,9.0,$18,11
Galaxy Earth E-3 VB,7.8,8.5,5.0,,$36,1
Galaxy Earth E-4,8.3,8.5,3.0,8.5,$50,1
Galaxy Earth E-5,,,,,$65,0
Galaxy EC-11,8.0,6.0,6.0,8.0,$20,2
Galaxy EC-12,8.8,6.4,7.0,8.1,$25,3
Galaxy EC-13,9.5,7.1,5.0,8.8,$30,2
Galaxy EC-14,9.3,8.9,6.9,9.3,$30,13
Galaxy Galaxy T2s,9.0,9.1,6.1,9.5,$40,7
Galaxy Hinoki 200 Year,,,,,$129,0
Galaxy Hinoki 260 Year,,,,,$225,0
Galaxy Hinoki 3A,8.0,8.0,7.0,8.0,$109,1
Galaxy Hinoki 5A,,,,,$191,1
Galaxy Huichuan,7.0,8.5,0.0,7.5,$13,1
Galaxy Huichuan 606,9.0,7.0,7.0,9.0,$10,1
Galaxy J-1,7.9,9.0,5.6,8.6,$37,18
Galaxy Kiso Hinoki V,8.4,9.0,5.0,8.5,$59,1
Galaxy Lanze,6.5,9.5,3.0,,$40,1
Galaxy LQ-1,6.9,8.0,6.0,9.0,$50,4
Galaxy LQ-2,6.7,8.3,4.7,8.7,$46,3
Galaxy M-1,,,,,$23,0
Galaxy M-2,,,,,$24,0
Galaxy M-3,10.0,10.0,10.0,10.0,$20,1
Galaxy M-4,8.0,9.0,5.0,9.0,$19,1
Galaxy M-5,,,,,$25,0
Galaxy M-6,7.5,7.9,4.6,8.5,$26,7
Galaxy M101,9.6,9.5,5.0,9.5,$40,4
Galaxy M201,8.9,9.5,4.0,9.5,$40,6
Galaxy MC-1,8.5,7.5,7.0,8.0,$30,2
Galaxy MC-2,8.2,9.3,3.9,9.4,$45,26
Galaxy MC-2 PRO,9.0,9.0,7.0,8.8,$38,1
Galaxy MC-3,8.3,7.9,5.0,8.9,$20,1
Galaxy MC-4,9.0,10.0,5.0,10.0,$25,1
Galaxy Mercury Y-11,8.6,8.5,7.0,8.9,$24,2
Galaxy Mercury Y-12,,,,,$27,0
Galaxy Mercury Y-13,8.8,9.2,5.7,9.5,$45,14
Galaxy Mercury Y-14,9.2,9.0,7.0,9.0,$22,2
Galaxy Mercury Y-15,9.0,9.2,4.7,9.2,$22,15
Galaxy Mercury Y-16,9.6,9.5,5.7,9.5,$27,6
Galaxy N-1,8.5,8.5,5.0,9.5,$20,1
Galaxy N-10,7.4,8.4,5.0,8.6,$13,7
Galaxy N-11,8.0,8.5,4.4,8.5,$13,11
Galaxy N-2,9.0,9.0,7.0,9.0,$19,1
Galaxy N-3,8.8,8.7,7.0,8.4,$17,2
Galaxy N-4,8.7,9.4,4.3,9.3,$15,6
Galaxy N-5,,,,,$15,0
Galaxy N-6,8.0,7.0,5.0,,$14,1
Galaxy N-7,8.0,8.0,5.0,8.0,$13,1
Galaxy N-8,8.0,8.1,5.5,8.7,$13,4
Galaxy N-8 S,8.1,8.4,5.0,8.4,$13,2
Galaxy N-9,9.1,9.1,6.5,9.2,$15,61
Galaxy N10 S,,,,,$15,0
Galaxy N11 S,8.2,9.5,4.1,9.4,$15,13
Galaxy N9S,9.0,9.5,5.7,9.4,$15,21
Galaxy Nano 50,8.0,9.0,5.0,8.5,$170,1
Galaxy Nano 51,,,,,$170,0
Galaxy Nano 52,,,,,$170,0
Galaxy Nano 70,8.5,8.7,3.0,8.5,$170,1
Galaxy NE-50,,,,,$149,0
Galaxy NE-70,,,,,$149,0
Galaxy NR-50,9.0,8.0,7.0,,$149,1
Galaxy NR-70,9.0,9.8,10.0,9.6,$175,1
Galaxy Pro 5W,9.5,9.4,5.0,9.6,$54,2
Galaxy PRO 7W,8.9,8.4,7.0,9.1,$30,1
Galaxy Pro Feeling,9.1,9.3,5.0,9.3,$99,8
Galaxy Purple Dragon PD-437,8.4,8.4,5.0,8.9,$44,3
Galaxy Purple Dragon PD-537,9.2,8.9,6.6,9.4,$42,5
Galaxy Qiu Yike Ebony,8.7,9.3,5.0,9.0,$50,1
Galaxy Qiu Yike Palisander,8.8,8.8,7.0,10.0,$79,1
Galaxy Qiu Yike Pro Limited Edition,9.0,9.3,5.0,9.0,$135,1
Galaxy Qiu Yike Rosewood,8.7,8.7,5.0,9.3,$79,2
Galaxy Qiu Yike Wenge,,,,,$94,0
Galaxy Speer,8.0,8.0,7.0,,$50,1
Galaxy T-1,9.3,8.4,8.5,9.0,$55,11
Galaxy T-10,9.1,7.7,8.2,9.3,$40,10
Galaxy T-10+,9.6,8.6,6.9,9.2,$30,9
Galaxy T-11,9.5,8.9,7.0,9.4,$25,54
Galaxy T-11+,9.3,8.9,7.2,9.1,$35,71
Galaxy T-2,9.3,8.2,8.4,8.7,$30,17
Galaxy T-3,9.5,8.8,6.0,9.5,$40,2
Galaxy T-4,9.6,8.3,8.2,9.4,$35,20
Galaxy T-4s,9.6,8.8,7.2,9.3,$58,16
Galaxy T-5,,,,,$36,0
Galaxy T-6,8.4,8.9,7.2,9.3,$36,9
Galaxy T-7,8.3,8.8,6.3,9.1,$40,15
Galaxy T-8,9.3,8.6,6.5,9.3,$28,32
Galaxy T-8S,9.5,9.2,5.9,9.5,$60,19
Galaxy T-9,9.3,8.0,7.6,9.0,$80,5
Galaxy T-9 Pro,10.0,9.5,6.0,9.5,$90,2
Galaxy T6s,8.5,7.2,7.0,7.9,$31,1
Galaxy T7s,9.1,9.2,6.1,9.3,$40,10
Galaxy TC.1 Thin Carbon 1,,,,,$45,0
Galaxy TC.2 Thin Carbon 2,,,,,$35,0
Galaxy TC.4 Thin Carbon 4,,,,,$45,0
Galaxy U2004 (U-4),7.5,8.0,7.0,8.0,$18,7
Galaxy U2005 (U-5),8.4,8.3,3.0,8.0,,2
Galaxy U2006 (U-6),9.0,8.0,10.0,,,2
Galaxy U2007 (U-7),,,,,,1
Galaxy Uranus U-1,,,,,$35,0
Galaxy Uranus U-1 VB,8.7,9.5,5.0,9.2,$41,2
Galaxy Uranus U-2,8.7,9.4,4.1,9.5,$31,9
Galaxy Uranus U-3,9.3,9.6,5.3,9.4,$30,9
Galaxy Venus V-1,8.9,9.1,6.8,9.2,$110,6
Galaxy Venus V-11,9.5,9.8,7.5,9.7,$60,2
Galaxy Venus V-12,9.2,9.2,4.8,9.2,$44,11
Galaxy Venus V-13,8.9,9.4,4.7,9.5,$40,12
Galaxy Venus V-14,9.0,9.0,5.4,9.1,$46,31
Galaxy Venus V-14 PRO,9.2,9.2,5.9,9.5,$60,21
Galaxy Venus V-15,9.5,9.2,6.6,9.4,$54,8
Galaxy Venus V-16,9.4,9.1,6.0,9.4,$54,7
Galaxy Venus V-2,8.5,7.5,5.0,10.0,$110,1
Galaxy Venus V-3,,,,,$170,0
Galaxy Venus V-4,9.3,9.2,6.4,9.2,$130,9
Galaxy VF5,,,,,$62,0
Galaxy W-1,8.9,8.5,5.4,9.3,$50,5
Galaxy W-2,8.1,8.6,5.7,7.4,$50,3
Galaxy W-3,,,,,$55,0
Galaxy W-4,8.5,5.0,10.0,6.5,$30,2
Galaxy W-5,9.0,8.0,3.0,9.0,$26,1
Galaxy W-6,8.0,8.8,4.1,8.9,$40,30
Galaxy Y-1,8.5,8.5,5.0,8.0,$25,1
Galaxy Y-2,9.1,9.2,6.7,9.3,$15,12
Galaxy Y-3,8.7,7.7,6.0,9.3,$21,11
Galaxy Y-4,8.8,9.0,6.4,9.2,$31,14
Galaxy Yinhe T1S,8.7,7.4,7.8,8.6,$50,5
Galaxy Z5 VF,8.2,9.5,6.0,9.0,$100,2
Galaxy Z7 VF,8.9,9.4,6.0,9.3,$100,2
Gambler AC Hero,,,,,$32,0
Gambler Arylate Carbon,7.6,8.7,4.2,8.3,$32,13
Gambler Black Diamond Light (Texilium),8.7,8.1,5.5,8.6,$32,4
Gambler Black Whirlwind,6.8,7.7,7.0,6.6,$16,3
Gambler Exotic Zebra Wood IM8 Carbon,,,,,$32,0
Gambler Fire Dragon Fast,,,,,$40,0
Gambler Fire Dragon Hinoki,8.9,8.5,7.0,8.5,$40,1
Gambler Fire Dragon Touch,8.5,9.0,1.5,10.0,$40,2
Gambler Gun,,,,,$26,0
Gambler Mega Weave Arylate Carbon,8.0,9.0,3.0,9.0,$40,1
Gambler Nano Boron Carbon,,,,,$32,0
Gambler Oversize Carbon,8.5,9.0,3.0,8.8,$32,2
Gambler Oversize Kevlar,6.4,8.5,2.2,8.1,$32,5
Gambler Rose Wood IM8 Carbon,,,,,$32,0
Gambler Tension Hinoki,8.3,7.5,5.0,7.5,$32,2
Gambler Vector Hinoki,9.0,9.0,5.0,10.0,$40,1
Gambler Vector Speed,9.4,8.5,3.0,9.4,$40,1
Gambler Vector Target,,,,,$40,0
Gambler Wing Wood IM8 Carbon,,,,,$32,0
Gambler Zen,7.0,10.0,5.0,9.5,$16,1
Gewo Allround Classic,7.0,9.3,3.0,7.5,$36,1
Gewo Allround Pro 4.0,,,,,$62,0
Gewo Balsa Carbon 375,7.0,9.6,3.0,9.4,$75,5
Gewo Balsa Carbon 575,8.8,9.3,6.5,9.4,$75,4
Gewo Balsa Carbon 775,9.6,9.3,8.5,9.4,$75,2
Gewo Dynatec TI,10.0,10.0,5.0,10.0,$62,1
Gewo Dynatec ZV,,,,,$80,0
Gewo Force Arc,8.9,9.2,5.0,9.5,$120,2
Gewo High-Power 6.5,,,,,$62,0
Gewo Hybrid Carbon A-Speed ALL+,7.8,9.4,5.0,9.4,$33,9
Gewo Hybrid Carbon M-Speed Off-,9.2,9.4,6.8,9.4,$37,9
Gewo Hybrid Carbon X-Speed OFF,9.6,9.0,9.3,9.4,$56,8
Gewo Konigsklasse OFF Funf,8.9,9.5,5.0,9.8,$150,1
Gewo OF Feeling 5.5,9.4,7.5,5.0,9.0,$62,1
Gewo Polaris Control Glasfiber,,,,,$65,0
Gewo Power AR 5.0,8.8,9.0,5.0,,$61,1
Gewo Power Control 4.5,,,,,$62,0
Gewo Super Control,,,,,$37,0
Gewo Super-Force CF,9.0,9.5,3.0,9.3,$120,8
Gewo Velox Alpha Def,,,,,$48,0
Gewo Velox Alpha Overdrive,8.4,9.3,4.5,9.2,$44,9
Gewo Velox Alpha Speedster,8.9,9.3,5.3,9.4,$46,9
Gewo Velox Power Control,8.0,9.5,3.8,9.4,$25,6
Gewo X-Force VC,,,,,$145,0
Gewo Youngster,,,,,$20,0
Gewo Zoom Balance ALL+,8.7,9.8,7.0,9.8,$40,2
Gewo Zoom Pro,8.0,8.5,5.0,9.0,$35,1
Gewo Zoom Pro OFF-,8.5,9.2,5.0,9.3,$35,2
Giant Dragon Balsa Carbon 2C,,,,,$48,0
Giant Dragon BALSACARBON X7,,,,,$43,0
Giant Dragon BALSAdef,7.1,8.9,5.4,8.7,$30,6
Giant Dragon BALSApower,8.1,8.5,7.0,8.4,$28,1
Giant Dragon BS7100,7.5,8.0,3.0,8.0,$26,1
Giant Dragon BS7200,,,,,$24,0
Giant Dragon Challenger XS,8.5,8.0,7.0,8.5,$20,1
Giant Dragon Damascus 7P,,,,,$42,0
Giant Dragon Ebony King 5,8.0,6.0,7.0,8.0,$85,1
Giant Dragon Ebony King 7,9.6,8.1,8.5,9.3,$70,2
Giant Dragon Fiberenergy 3K,9.0,7.8,6.0,8.8,$48,3
Giant Dragon Fiberenergy Kevlar,8.4,8.8,6.3,8.9,$44,4
Giant Dragon Fiberpotence Kevlar,,,,,$55,0
Giant Dragon Katana 5P,7.8,7.0,5.0,7.5,$48,2
Giant Dragon Kris,8.2,8.4,7.0,9.0,$26,4
Giant Dragon Kris Carbon,,,,2.0,$40,1
Giant Dragon Kris II,7.9,8.9,5.0,8.6,$35,3
Giant Dragon Kris Special,8.0,7.5,7.5,7.5,$38,2
Giant Dragon Longquan,,,,,$24,0
Giant Dragon Nunchaku,9.0,8.7,5.4,9.1,$30,5
Giant Dragon Overimagine,9.0,5.0,5.0,1.0,$30,1
Giant Dragon SuperBalsa II (2),9.8,8.1,8.5,,$28,2
Giant Dragon Topspeed,8.8,8.5,6.0,8.3,$26,2
GKI Euro Jumbo,9.0,9.0,5.0,9.0,$80,1
GKI Euro XX,7.6,7.8,5.0,8.4,$31,2
Globe 521 CG,9.2,7.3,10.0,8.0,$30,1
Globe 522,9.3,8.3,6.8,8.6,$32,5
Globe 581,6.0,6.0,5.0,5.0,$23,1
Globe 582,8.8,9.0,5.0,9.0,$21,2
Globe 583,8.0,8.2,5.6,8.1,$10,5
Globe 589,,,,,$24,0
Globe 782,9.0,8.5,7.0,,$20,1
Globe 783,8.2,8.2,5.0,8.2,$10,3
Globe Biaowang 1,9.0,8.5,5.0,9.0,$27,1
Globe Biaowang BW-4,7.5,8.5,5.0,8.5,$32,3
Globe Biaowang BW-5,,,,,$36,0
Globe Prize 502,,,,,$15,0
Globe Salvo 584 Minor,,,,,$21,0
Goldway MC1,,,,,$100,0
Haifu I,,,,,$58,0
Haifu V,,,,,$54,0
Hallmark Aurora,5.5,9.1,7.4,8.7,$50,8
Hallmark Carbon Extreme,,,,,$75,0
Hallmark Combination Effect,8.3,9.5,3.7,9.3,$40,4
Hallmark Strategy,,,,,,1
Hallmark Ultra,,,,,$50,0
Hanno Allround Classic,,,,,$55,0
Hanno Masterpiece MF1,6.0,6.0,,10.0,$100,1
Hanno Offensive RC - 1,,,,,$67,0
Huaruite 2074,,,,,$15,0
Huaruite 2076,,,,,$8,0
Huaruite 2091,,,,8.5,,1
Huaruite Bamboo V,,,,,$32,0
Huaruite Black Crystal Carbon,,,,,,0
Huaruite Clipper,8.3,9.2,5.4,9.0,$12,22
Huaruite Ebenholz NCT V,9.0,8.0,7.0,8.0,$25,1
Huaruite Ebenholz NCT VII,9.5,8.5,10.0,9.1,$32,1
Huaruite Narra Carbon,9.4,9.0,10.0,9.5,$22,2
Huaruite Palisander NCT V,8.7,8.9,5.0,8.6,$22,1
Huaruite Palisander NCT VII,9.3,8.7,6.0,9.7,$25,2
Huaruite Red Carbon,9.2,8.3,7.0,8.9,$15,4
Huaruite Rosewood NCT V,9.2,8.8,6.0,9.3,$25,5
Huaruite Rosewood NCT VII,9.0,9.0,7.0,9.9,$32,2
Huaruite Sunshine-1,7.2,9.0,3.0,7.5,$12,1
Huieson 7 Ply Hybrid Carbon,,,,,$6,0
Huieson Arylate Carbon,9.0,8.7,5.0,9.0,$20,1
Huieson S3,9.0,9.0,5.0,9.6,$10,2
Huieson X1,,,,,$5,0
Hunter Black Widow,9.0,8.0,7.0,9.0,$65,1
Hunter Equalizer,6.0,8.0,3.0,7.0,$45,1
Hunter Fang,,,,,$54,0
Hunter Flame,8.2,8.5,6.6,8.9,$49,5
Hunter Hawk,6.0,9.5,0.0,9.0,$54,1
Hunter Inferno,,,,,$78,0
Hunter Power-Touch,9.0,7.6,5.0,9.3,$49,4
Hunter Pyro,,,,,$49,0
Hunter Techno Power,,,,,$69,0
Hunter Venom,9.5,7.8,7.0,9.0,$55,1
Hunter X-Carbon,8.5,6.0,7.0,8.5,$73,1
Imperial Balsa XT,,,,,$45,0
Imperial Cross Carbon Speed,,,,,$60,0
Imperial Master Line Allround,,,,,$30,0
Imperial Master Line Allround +,,,,,$30,0
Imperial Master Line Defensiv,,,,,$30,0
Imperial Master Line Offensiv,,,,,$30,0
ITC Accelum 5,9.0,8.5,5.0,9.5,$65,1
ITC Accelum Carbon,10.0,8.0,10.0,,$79,1
ITC Challenge Force,7.5,9.0,5.0,9.0,$60,1
ITC Challenge Speed,,,,,$73,0
ITC Dynarc Q3,,,,,$100,0
ITC Dynarc T5,,,,,$70,0
ITC Dynarc T7,,,,,$75,0
ITC Premier XC,,,,,$125,0
ITC Premier XF,,,,,$125,0
ITC Premier XQ,9.0,8.8,7.0,9.0,$90,1
ITC Premier XR,8.8,9.0,7.0,9.0,$160,1
ITC Radix Express,9.5,9.8,7.0,9.9,$110,1
ITC Strike Carbon,,,,,$109,0
Japsko Japsko Carbon,8.7,8.2,3.0,8.5,$35,1
JOOLA Air Carbon,9.4,9.3,7.3,9.4,$179,4
JOOLA Air Fibre,,,,,$169,0
JOOLA Arrow,,,,,$140,0
JOOLA Aruna OFF,9.0,9.5,4.9,9.5,$140,14
JOOLA Aruna OFF+,9.4,9.1,5.0,9.3,$175,3
JOOLA Black Rose,10.0,9.5,,9.5,$199,1
JOOLA Bomb Extrem MCD,9.7,8.1,6.9,8.9,$110,18
JOOLA Bomb Fast MCD,9.4,8.9,,9.0,$110,2
JOOLA Carbon,7.9,7.3,7.0,7.9,$25,5
JOOLA Carbon Pro,7.8,7.8,7.1,8.2,$63,8
JOOLA Carbon Strung,9.0,7.5,7.0,10.0,$35,1
JOOLA Carbon SWE,8.5,8.5,7.0,8.5,$110,3
JOOLA Cat,7.0,8.0,7.0,8.0,$50,1
JOOLA Chen Defender,6.8,10.0,0.0,9.8,$70,4
JOOLA Chen Junior,7.5,10.0,5.0,8.7,$30,2
JOOLA Chen Weixing,7.8,8.7,5.6,8.8,$75,18
JOOLA Colt OFF Control,,,,,$75,0
JOOLA Colt OFF Speed,,,,,$75,0
JOOLA DANUBE,8.3,8.5,3.0,9.0,$27,1
JOOLA Defense,10.0,9.0,0.0,9.0,$45,1
JOOLA Eagle Carbon,9.0,8.7,10.0,9.2,$84,1
JOOLA Eagle Fast,8.3,8.8,5.5,8.5,$70,13
JOOLA Eagle Medium,8.0,9.0,5.0,9.0,$55,5
JOOLA Eagle Speed,8.4,9.1,5.0,7.9,$56,3
JOOLA Energon Super PBO-c,9.6,9.5,8.5,9.6,$269,2
JOOLA Falcon Fast,7.5,8.4,7.0,8.6,$49,3
JOOLA Falcon Fast+,9.1,8.2,6.3,8.8,$59,3
JOOLA Falcon Medium,8.4,9.1,4.5,9.0,$30,4
JOOLA Fejer-Konnerth Light,7.3,8.8,4.0,7.5,$44,2
JOOLA Fetzner Balsa,,,,,$50,0
JOOLA Fetzner Cello,,,,,$38,0
JOOLA Fetzner Powerall,7.5,9.0,,8.0,$38,1
JOOLA Fever,8.8,9.2,5.6,9.5,$140,20
JOOLA Flame Extreme,9.6,8.3,6.5,9.3,$90,19
JOOLA Flame Fast,8.7,9.2,4.8,9.2,$80,12
JOOLA Flame Low,7.0,10.0,7.0,8.0,$85,1
